"","site","variable","cum_elev","std_err","days"
"1","Broadkill","t0_t1",3.40740740740741,0.976004691065131,33
"2","CovePoint","t0_t1",0.267605633802817,1.43847081594361,223
"3","Broadkill","t0_t2",5.93518518518519,0.84506520074974,175
"4","CovePoint","t0_t2",-3.64788732394366,1.44852642691688,420
"5","Broadkill","t0_t3",6.40740740740741,0.931733259530524,295
"6","CovePoint","t0_t3",-0.957746478873239,1.29049093332003,595
"7","Broadkill","t0_t4",9.93518518518519,0.700130179774229,453
"8","CovePoint","t0_t4",2.02816901408451,1.10949293818104,829
"9","Broadkill","t0_t5",10.4259259259259,0.774418316270052,538
"10","CovePoint","t0_t5",5.56338028169014,1.18249002265072,953
"11","Broadkill","t0_t6",11.7222222222222,0.78282371497801,672
"12","CovePoint","t0_t6",5.74647887323944,1.16465697920846,1136
"13","Broadkill","t0_t7",14.1666666666667,0.720382672046489,819
"14","Broadkill","t0_t8",14.9351851851852,0.735335832430959,1049
"15","Broadkill","t0_t9",18.6388888888889,0.72647819410955,1184
"16","Broadkill","t0",0,0,0
"17","CovePoint","t0",0,0,0
