"","site","set_name","variable","cum_elev","std_err","days"
"1","CovePoint","CP_North","t0_t1",7.08571428571429,0.839539117833201,223
"2","CovePoint","CP_North","t0_t2",4.25714285714286,0.813068528583458,420
"3","CovePoint","CP_North","t0_t3",-1.22857142857143,1.26297349173145,595
"4","CovePoint","CP_North","t0_t4",4.82857142857143,0.583362772938024,829
"5","CovePoint","CP_North","t0_t5",9.45714285714286,0.615408393667489,953
"6","CovePoint","CP_North","t0_t6",8.05714285714286,0.631049355689178,1136
"7","CovePoint","CP_North","t0",0,0,0
"8","CovePoint","CP_South","t0_t1",-6.36111111111111,2.22473568174188,223
"9","CovePoint","CP_South","t0_t2",-11.3333333333333,2.0563490531939,420
"10","CovePoint","CP_South","t0_t3",-0.694444444444444,2.24909838882389,595
"11","CovePoint","CP_South","t0_t4",-0.694444444444444,2.02595047043159,829
"12","CovePoint","CP_South","t0_t5",1.77777777777778,2.08018280298323,953
"13","CovePoint","CP_South","t0_t6",3.5,2.16373427937583,1136
"14","CovePoint","CP_South","t0",0,0,0
"15","ParkersCreek","PC_Set2","t0_t1",2.83333333333333,0.95659780737746,123
"16","ParkersCreek","PC_Set2","t0",0,0,0
"17","ParkersCreek","PC_Set1","t0_t1",8.02777777777778,1.41167811380703,123
"18","ParkersCreek","PC_Set1","t0",0,0,0
"19","ParkersCreek","PC_Set3","t0_t1",-1.63888888888889,1.19599382714456,123
"20","ParkersCreek","PC_Set3","t0",0,0,0
"21","ParkersCreek","PC_Set4","t0_t1",-0.138888888888889,1.35233647180744,123
"22","ParkersCreek","PC_Set4","t0",0,0,0
